CHROM	POS	NAME
PvP01_01_v1	395356	7907
PvP01_01_v1	395454	7907
PvP01_01_v1	395481	7907
PvP01_01_v1	395494	7907
PvP01_01_v1	395509	7907
PvP01_01_v1	395521	7907
PvP01_01_v1	483736	9674
PvP01_01_v1	483737	9674
PvP01_01_v1	483820	9674
PvP01_01_v1	483883	9674
PvP01_01_v1	612226	12243
PvP01_01_v1	612295	12243
PvP01_01_v1	612298	12243
PvP01_01_v1	612348	12243
PvP01_01_v1	772094	15441
PvP01_01_v1	772136	15441
PvP01_01_v1	772154	15441
PvP01_01_v1	772158	15441
PvP01_01_v1	772159	15441
PvP01_01_v1	772211	15441
PvP01_02_v1	213959	24710
PvP01_02_v1	213974	24710
PvP01_02_v1	214056	24710
PvP01_02_v1	214133	24710
PvP01_02_v1	327553	26982
PvP01_02_v1	327588	26982
PvP01_02_v1	327616	26982
PvP01_02_v1	327682	26982
PvP01_02_v1	327739	26982
PvP01_02_v1	660464	33640
PvP01_02_v1	660527	33640
PvP01_02_v1	660596	33640
PvP01_02_v1	660614	33640
PvP01_02_v1	726207	34955
PvP01_02_v1	726213	34955
PvP01_02_v1	726217	34955
PvP01_02_v1	726220	34955
PvP01_02_v1	726229	34955
PvP01_02_v1	726236	34955
PvP01_03_v1	178938	43133
PvP01_03_v1	179021	43133
PvP01_03_v1	179022	43133
PvP01_03_v1	179090	43133
PvP01_03_v1	179094	43133
PvP01_03_v1	252062	44595
PvP01_03_v1	252068	44595
PvP01_03_v1	252070	44595
PvP01_03_v1	252094	44595
PvP01_03_v1	252097	44595
PvP01_03_v1	252103	44595
PvP01_03_v1	252153	44595
PvP01_03_v1	252159	44595
PvP01_03_v1	252170	44595
PvP01_03_v1	536621	50287
PvP01_03_v1	536630	50287
PvP01_03_v1	536651	50287
PvP01_03_v1	536657	50287
PvP01_03_v1	536711	50287
PvP01_03_v1	831863	56191
PvP01_03_v1	831875	56191
PvP01_03_v1	831974	56191
PvP01_03_v1	831998	56191
PvP01_04_v1	361788	64721
PvP01_04_v1	361890	64721
PvP01_04_v1	361893	64721
PvP01_04_v1	361899	64721
PvP01_04_v1	500161	67489
PvP01_04_v1	500175	67489
PvP01_04_v1	500204	67489
PvP01_04_v1	500205	67489
PvP01_04_v1	500266	67489
PvP01_04_v1	500273	67489
PvP01_04_v1	763111	72748
PvP01_04_v1	763112	72748
PvP01_04_v1	763137	72748
PvP01_04_v1	763140	72748
PvP01_04_v1	763152	72748
PvP01_04_v1	763159	72748
PvP01_04_v1	763203	72748
PvP01_04_v1	763224	72748
PvP01_04_v1	851725	74521
PvP01_04_v1	851854	74521
PvP01_04_v1	851856	74521
PvP01_04_v1	851857	74521
PvP01_05_v1	170477	81132
PvP01_05_v1	170511	81132
PvP01_05_v1	170534	81132
PvP01_05_v1	170547	81132
PvP01_05_v1	490199	87526
PvP01_05_v1	490220	87526
PvP01_05_v1	490223	87526
PvP01_05_v1	490244	87526
PvP01_05_v1	501009	87745
PvP01_05_v1	501013	87745
PvP01_05_v1	501015	87745
PvP01_05_v1	501141	87745
PvP01_05_v1	501188	87745
PvP01_05_v1	776829	93261
PvP01_05_v1	776958	93261
PvP01_05_v1	776964	93261
PvP01_05_v1	776973	93261
PvP01_05_v1	1093159	99588
PvP01_05_v1	1093196	99588
PvP01_05_v1	1093207	99588
PvP01_05_v1	1093267	99588
PvP01_05_v1	1093275	99588
PvP01_05_v1	1093327	99588
PvP01_05_v1	1369384	105112
PvP01_05_v1	1369391	105112
PvP01_05_v1	1369436	105112
PvP01_05_v1	1369483	105112
PvP01_05_v1	1369498	105112
PvP01_05_v1	1369505	105112
PvP01_05_v1	1369510	105112
PvP01_05_v1	1369520	105112
PvP01_05_v1	1369548	105112
PvP01_06_v1	131455	110848
PvP01_06_v1	131461	110848
PvP01_06_v1	131506	110848
PvP01_06_v1	131634	110848
PvP01_06_v1	286251	113944
PvP01_06_v1	286256	113944
PvP01_06_v1	286257	113944
PvP01_06_v1	286279	113944
PvP01_06_v1	286326	113944
PvP01_06_v1	286419	113944
PvP01_06_v1	286430	113944
PvP01_06_v1	286435	113944
PvP01_06_v1	531257	118844
PvP01_06_v1	531270	118844
PvP01_06_v1	531289	118844
PvP01_06_v1	531294	118844
PvP01_06_v1	531303	118844
PvP01_06_v1	531359	118844
PvP01_06_v1	531370	118844
PvP01_06_v1	531390	118844
PvP01_06_v1	531393	118844
PvP01_06_v1	983158	127882
PvP01_06_v1	983175	127882
PvP01_06_v1	983177	127882
PvP01_06_v1	983182	127882
PvP01_06_v1	983193	127882
PvP01_06_v1	983275	127882
PvP01_06_v1	983294	127882
PvP01_06_v1	983333	127882
PvP01_07_v1	78144	130634
PvP01_07_v1	78148	130634
PvP01_07_v1	78155	130634
PvP01_07_v1	78172	130634
PvP01_07_v1	78223	130634
PvP01_07_v1	78271	130634
PvP01_07_v1	78274	130634
PvP01_07_v1	78280	130634
PvP01_07_v1	78300	130634
PvP01_07_v1	496521	139001
PvP01_07_v1	496552	139001
PvP01_07_v1	496613	139001
PvP01_07_v1	697429	143020
PvP01_07_v1	697433	143020
PvP01_07_v1	697493	143020
PvP01_07_v1	697496	143020
PvP01_07_v1	697499	143020
PvP01_07_v1	697579	143020
PvP01_07_v1	832234	145716
PvP01_07_v1	832286	145716
PvP01_07_v1	832307	145716
PvP01_07_v1	832309	145716
PvP01_07_v1	832313	145716
PvP01_07_v1	832354	145716
PvP01_07_v1	832371	145716
PvP01_07_v1	1123203	151535
PvP01_07_v1	1123300	151535
PvP01_07_v1	1123303	151535
PvP01_07_v1	1123330	151535
PvP01_07_v1	1219957	153471
PvP01_07_v1	1219958	153471
PvP01_07_v1	1219961	153471
PvP01_07_v1	1220072	153471
PvP01_07_v1	1220077	153471
PvP01_07_v1	1427122	157614
PvP01_07_v1	1427126	157614
PvP01_07_v1	1427170	157614
PvP01_07_v1	1427171	157614
PvP01_07_v1	1427207	157614
PvP01_07_v1	1427291	157614
PvP01_08_v1	35474	162823
PvP01_08_v1	35532	162823
PvP01_08_v1	35571	162823
PvP01_08_v1	35623	162823
PvP01_08_v1	168548	165484
PvP01_08_v1	168557	165484
PvP01_08_v1	168663	165484
PvP01_08_v1	168665	165484
PvP01_08_v1	822407	178560
PvP01_08_v1	822412	178560
PvP01_08_v1	822413	178560
PvP01_08_v1	822461	178560
PvP01_08_v1	822480	178560
PvP01_08_v1	1018074	182475
PvP01_08_v1	1018233	182475
PvP01_08_v1	1018241	182475
PvP01_08_v1	1018248	182475
PvP01_08_v1	1279760	187709
PvP01_08_v1	1279832	187709
PvP01_08_v1	1279877	187709
PvP01_08_v1	1279940	187709
PvP01_08_v1	1279943	187709
PvP01_08_v1	1403793	190188
PvP01_08_v1	1403808	190188
PvP01_08_v1	1403811	190188
PvP01_08_v1	1403852	190188
PvP01_08_v1	1403883	190188
PvP01_08_v1	1468976	191493
PvP01_08_v1	1468987	191493
PvP01_08_v1	1468997	191493
PvP01_08_v1	1468998	191493
PvP01_08_v1	1469148	191493
PvP01_09_v1	264726	202631
PvP01_09_v1	264786	202631
PvP01_09_v1	264804	202631
PvP01_09_v1	264805	202631
PvP01_09_v1	264812	202631
PvP01_09_v1	264848	202631
PvP01_09_v1	264859	202631
PvP01_09_v1	264860	202631
PvP01_09_v1	264877	202631
PvP01_09_v1	264897	202631
PvP01_09_v1	448825	206313
PvP01_09_v1	448846	206313
PvP01_09_v1	448859	206313
PvP01_09_v1	448959	206313
PvP01_09_v1	756313	212462
PvP01_09_v1	756334	212462
PvP01_09_v1	756362	212462
PvP01_09_v1	756374	212462
PvP01_09_v1	756407	212462
PvP01_09_v1	842508	214187
PvP01_09_v1	842564	214187
PvP01_09_v1	842644	214187
PvP01_09_v1	842645	214187
PvP01_09_v1	1165617	220647
PvP01_09_v1	1165640	220647
PvP01_09_v1	1165673	220647
PvP01_09_v1	1165689	220647
PvP01_09_v1	1459601	226528
PvP01_09_v1	1459615	226528
PvP01_09_v1	1459654	226528
PvP01_09_v1	1459689	226528
PvP01_09_v1	1459713	226528
PvP01_09_v1	1459717	226528
PvP01_09_v1	1459729	226528
PvP01_09_v1	1688612	231108
PvP01_09_v1	1688650	231108
PvP01_09_v1	1688696	231108
PvP01_09_v1	1864595	234628
PvP01_09_v1	1864615	234628
PvP01_09_v1	1864642	234628
PvP01_09_v1	2150872	240353
PvP01_09_v1	2150879	240353
PvP01_09_v1	2150901	240353
PvP01_09_v1	2150917	240353
PvP01_09_v1	2150950	240353
PvP01_09_v1	2150952	240353
PvP01_09_v1	2150956	240353
PvP01_10_v1	203317	246142
PvP01_10_v1	203365	246142
PvP01_10_v1	203459	246142
